idComprobante;Monto;Cajero;Cliente;Fecha ;Producto
;374;4;799290276;21/3/2023;1
;852;6;789961471;2/9/2022;1
;723;2;788540698;15/6/2022;1
;37;7;785913902;15/1/2022;1
;121;10;779186832;27/3/2023;1
;550;10;775736255;1/7/2022;1
;551;6;775017791;1/10/2022;1
;431;10;768916733;26/6/2023;1
;734;5;763692791;17/6/2022;1
;153;1;760837964;9/5/2022;1
;365;7;758097006;9/7/2023;1
;709;5;756656970;23/5/2023;1
;174;9;750961473;22/9/2023;1
;480;6;742012462;8/3/2022;1
;441;1;736559697;2/12/2022;1
;17;8;726573979;11/2/2022;1
;542;7;726208929;9/10/2022;1
;653;2;723753355;1/5/2022;1
;844;5;722663397;25/7/2023;1
;681;1;716585210;29/4/2022;1
;859;4;701706724;3/5/2022;1
;584;7;699085338;26/2/2022;1
;178;5;693249356;19/3/2022;1
;419;3;692640006;30/7/2022;1
;416;3;689030865;2/9/2022;1
;940;8;687842084;2/11/2022;1
;941;7;677103144;7/9/2022;1
;573;6;676024681;14/4/2022;1
;109;5;674630106;31/3/2022;1
;713;8;667043985;11/8/2023;1
;198;6;658998576;8/12/2023;1
;934;8;654716319;25/4/2023;1
;294;7;654309400;9/7/2022;1
;493;10;649795940;8/1/2023;1
;861;8;644832858;10/6/2022;1
;919;4;617703129;18/2/2022;1
;621;10;611642124;16/6/2023;1
;954;10;589797283;14/12/2023;1
;200;9;579694711;30/11/2022;1
;658;9;579076960;5/9/2023;1
;466;1;574036306;12/6/2023;1
;2;2;550485121;15/8/2023;1
;647;6;538211007;30/11/2022;1
;497;5;530703680;25/1/2022;1
;533;10;515749231;26/3/2023;1
;597;6;499352957;8/2/2022;1
;259;1;490546423;22/6/2023;1
;26;1;483207542;9/2/2022;1
;511;9;482223057;10/5/2023;1
;221;5;469509982;5/9/2023;1
;239;8;458997598;30/8/2022;1
;239;2;456084513;3/8/2022;1
;191;5;436903912;11/9/2022;1
;387;5;432273065;16/6/2023;1
;207;3;413708084;18/11/2023;1
;705;7;402467557;22/11/2023;1
;363;5;401070785;23/1/2022;1
;315;6;394619798;28/9/2023;1
;118;10;393870958;9/5/2023;1
;935;10;387847577;15/5/2023;1
;380;2;373882593;12/2/2022;1
;470;4;372607341;4/9/2023;1
;142;10;368840235;8/7/2023;1
;537;10;350458328;2/10/2022;1
;877;5;334435457;1/3/2022;1
;632;10;330758988;8/3/2023;1
;456;7;316671959;3/1/2023;1
;388;5;314711934;23/11/2022;1
;931;4;300622396;4/2/2023;1
;764;5;295900126;29/1/2023;1
;303;6;291972789;9/4/2023;1
;38;9;291551529;7/3/2022;1
;166;10;275727366;24/11/2023;1
;346;9;269085055;19/10/2022;1
;988;7;267666831;21/11/2022;1
;132;4;264804336;21/10/2023;1
;944;3;261309391;1/2/2023;1
;288;9;247566776;23/9/2023;1
;304;3;231962857;24/1/2023;1
;556;6;218030244;1/4/2022;1
;31;9;217338579;18/9/2022;1
;717;5;216443662;21/3/2022;1
;714;7;216202954;10/3/2023;1
;614;6;211407055;23/3/2023;1
;355;10;202938393;22/3/2022;1
;790;6;202312955;11/1/2023;1
;150;1;201212766;18/6/2023;1
;874;8;200735993;26/8/2022;1
;890;9;188534451;31/1/2023;1
;324;10;173131267;30/5/2022;1
;176;10;171978610;19/2/2023;1
;437;6;159175131;27/12/2022;1
;92;8;158781326;15/10/2022;1
;418;7;154267767;3/12/2023;1
;557;9;150440749;13/2/2023;1
;898;7;142971434;8/9/2023;1
;858;10;134586110;16/12/2022;1
;703;4;127839940;23/12/2022;1
;265;10;122932358;31/8/2022;1
;214;4;120772143;14/5/2022;1
